SSCC training dataset,,CM 2600d Measurement (SAV+SCI),,,Image Data,,,,,
,No.,X,Y,Z,Raw_R,Raw_G,Raw_B,R,G,B
"Training
Data",1,43.21,45.09,39.33,0.260712442,0.392216325,0.279179249,223.339549,217.3010897,201.2499854
,2,26.74,25.87,18.08,0.210759866,0.256604358,0.19488041,195.5198415,166.522522,133.9218577
,3,40.14,41.13,35.51,0.26826124,0.398396346,0.283652951,222.4409999,213.6063749,196.6048599
,4,39.44,41.53,34.60,0.265140672,0.403479555,0.280751002,219.5252608,214.5235126,192.9141658
,5,38.24,38.81,34.76,0.26304547,0.388559928,0.282034056,217.6616165,208.6568382,193.6688421
,6,38.43,39.90,32.03,0.262463716,0.386395006,0.268766392,217.0640406,209.2540062,184.4372706
,7,38.11,38.93,30.33,0.253903197,0.358006601,0.251760636,214.2756832,201.7134782,174.2832586
,8,37.41,38.81,30.86,0.246016824,0.350952118,0.249574321,215.8959851,205.8961599,180.0236583
,9,39.68,38.82,34.72,0.263143883,0.366846315,0.271352319,222.4360469,206.3226502,193.6253132
,10,37.91,37.28,30.06,0.262775353,0.358273003,0.257497225,220.4414078,202.5969349,182.4736903
,11,36.44,36.63,28.09,0.258862464,0.358273938,0.252193009,217.339549,201.378591,175.2557543
,12,33.38,34.05,31.86,0.2414786,0.355729099,0.267676551,206.9283259,198.7948837,188.0843774
,13,33.89,32.03,25.35,0.246753837,0.312689651,0.232091546,211.1003438,183.0983626,162.0998776
,14,32.72,34.00,25.70,0.235816631,0.329945742,0.234249441,201.7141775,190.7039217,159.1965503
,15,33.53,32.20,25.78,0.233060267,0.298971178,0.225637057,209.9361925,184.9426024,164.9423693
,16,35.71,34.42,28.42,0.250191664,0.330285436,0.245183643,215.8954024,194.230581,175.6766505
,17,31.15,30.69,24.29,0.237950734,0.317338994,0.234090311,207.1395606,188.7135365,165.506439
,18,29.64,30.23,26.35,0.229401202,0.324035991,0.242828654,200.3378008,189.3051687,171.3788241
,19,30.78,31.23,21.29,0.235502866,0.312336308,0.220002963,203.8987239,185.7456442,147.0753453
,20,31.19,30.03,20.67,0.239819733,0.30032019,0.216262524,207.638133,178.6816619,146.4651827
,21,29.50,28.44,21.82,0.227734455,0.290054607,0.217817428,198.6273527,172.6253715,149.2121089
,22,29.61,26.92,21.60,0.220357003,0.260966745,0.205823795,204.2449158,165.8038576,149.8885846
,23,8.24,7.58,5.02,0.14863639,0.150941231,0.140259091,86.64599965,47.01567508,22.63090729
,24,27.41,27.61,19.28,0.219299289,0.283315178,0.207191841,194.5755492,174.5781132,138.2319212
,25,27.51,27.48,21.94,0.221217145,0.293193642,0.220266538,193.8322942,175.8651594,151.8568848
,26,49.81,51.38,44.10,0.31986243,0.498830198,0.336929596,234.5548045,228.555562,212.6373172
,27,46.01,47.89,45.35,0.296795674,0.478950215,0.338719474,227.6067828,224.0474331,212.8268749
,28,42.28,42.22,30.50,0.281393197,0.385811297,0.26091999,223.1671231,206.8817668,174.7223938
,29,42.66,42.22,36.69,0.261994034,0.366204278,0.267325729,224.4536449,208.4536449,193.0556494
,30,38.28,35.05,30.06,0.257669534,0.322048831,0.244662465,220.9213915,190.8790863,179.3660626
,31,35.23,32.45,23.90,0.253168245,0.30637286,0.225345668,217.9033856,183.8191248,158.8621875
,32,31.18,31.09,19.25,0.233794298,0.296831207,0.207754745,204.4651827,180.825185,134.50236
,33,38.74,40.36,37.43,0.274107799,0.41771807,0.29707454,220.4013169,213.4341822,197.4308024
,34,28.28,27.19,21.51,0.211258182,0.261076274,0.203061924,195.0579893,168.0413437,146.579232
,35,26.39,26.40,23.09,0.204734907,0.268656286,0.211638697,185.4977465,169.4979268,154.3382609
,36,26.30,26.40,17.49,0.20965581,0.261345698,0.193643525,190.387657,167.85067,126.3957094
,37,29.11,26.10,19.94,0.225748196,0.260137774,0.202794692,205.7151013,162.9591972,144.7102939
,38,24.85,25.13,16.94,0.204131224,0.255301759,0.190974835,183.8875068,164.1813593,122.4186047
,39,30.64,27.58,20.24,0.229898166,0.265374294,0.203321247,207.5815155,165.6134247,143.0103359
,40,25.21,24.25,19.17,0.202120603,0.247593364,0.195533087,183.8170182,157.1868277,135.4518959
,41,24.59,23.48,16.57,0.200434249,0.237565,0.186303275,186.7990505,154.8417162,124.6818701
,42,23.88,23.32,13.63,0.20291912,0.235619032,0.176830104,187.7840274,154.7918394,102.1868277
,43,24.03,21.94,15.66,0.207370092,0.237254698,0.187074819,192.1317229,150.144823,125.0372574
,44,22.75,21.69,12.49,0.202372291,0.228826984,0.173710734,187.4979268,147.5294153,95.98257316
,45,21.15,20.98,12.39,0.192505485,0.225384753,0.172229138,174.2730004,145.3538249,93.54125353
,46,22.64,19.76,15.17,0.200667698,0.221175799,0.182139367,186.9669491,135.4687819,120.1730665
,47,21.57,20.18,12.63,0.191521444,0.215489766,0.171094242,175.0249384,136.0354546,95.43801454
,48,20.27,19.74,12.83,0.182923686,0.210165628,0.168880433,167.6923863,135.912986,96.6873385
,49,19.68,18.11,11.08,0.186571765,0.203654694,0.164900837,172.7391984,126.3957695,85.92163932
,50,17.82,17.62,12.34,0.179397246,0.208747574,0.169656207,157.2931314,131.1173006,95.81641728
,51,18.70,16.77,12.05,0.187755621,0.205636405,0.170674926,172.6383631,124.6306712,101.6241211
,52,17.22,16.95,10.41,0.17654356,0.199330769,0.161305162,153.9722973,122.1100895,75.71888709
,53,17.14,16.46,9.76,0.1753882,0.193509377,0.158617731,153.1806983,115.4058049,70.30406827
,54,15.21,14.95,10.53,0.168811228,0.190080717,0.160436581,139.7742323,111.0052881,78.70314284
,55,16.72,15.90,8.52,0.171240947,0.182265103,0.151543417,153.4744306,106.9304128,55.86503215
,56,16.14,15.58,9.34,0.171089472,0.186425799,0.155316103,149.4141578,110.3906616,65.3674058
,57,15.47,14.42,9.24,0.171252516,0.183859304,0.155940316,149.2780482,103.4975663,68.6502614
,58,15.27,14.81,8.90,0.170385371,0.185823868,0.15482049,144.6982153,107.0763175,61.24926387
,59,30.07,26.33,15.83,0.231846173,0.24964561,0.187429849,212.5322396,160.4973259,123.4163211
,60,22.84,23.17,12.80,0.195759059,0.234355145,0.174155669,177.8458025,154.2850189,94.28339643
,61,23.31,19.50,16.10,0.19685074,0.209196712,0.178387738,186.0266811,125.3004627,118.3110991
,62,17.48,15.40,8.75,0.172437893,0.17757003,0.151952185,160.7279611,100.4384352,63.86407067
,63,16.47,16.80,9.01,0.168027372,0.187839697,0.153167752,143.0765579,116.6246019,56.3537648
,64,15.20,14.71,8.50,0.165005618,0.176790347,0.150466409,143.5801334,102.3076738,54.95306772
,65,14.63,14.04,8.53,0.165418585,0.177037905,0.151295862,142.7738718,100.3537648,57.81233099
,66,14.54,13.75,7.92,0.167103786,0.176457271,0.150020174,143.5167959,96.25088637,50.43224566
,67,14.07,13.06,7.66,0.166735073,0.174402815,0.149703504,142.030527,90.64875909,50.27672616
,68,14.07,13.44,8.30,0.165419851,0.176692433,0.151100102,137.0066703,95.1490896,53.44143982
,69,14.00,13.54,8.22,0.164274364,0.175595063,0.150129789,131.7392585,92.73024458,49.3593534
,70,13.81,13.16,8.40,0.162833435,0.172799113,0.149874483,129.3647016,87.72549727,50.1998678
,71,13.38,12.44,7.12,0.159846295,0.165267781,0.145521097,130.3263626,78.95156541,39.24926387
,72,11.80,11.20,7.06,0.156723398,0.164295419,0.146076148,118.2054564,77.07709873,41.53692687
,73,12.76,11.88,7.03,0.160069679,0.164721076,0.145141338,126.9067364,75.15131302,36.21128538
,74,11.50,11.09,6.93,0.157360043,0.165871598,0.14621903,114.3992549,77.78577009,38.57556637
,75,10.44,9.80,6.29,0.155750042,0.160768433,0.144108455,110.8668349,65.61288384,32.087014
,76,11.64,11.01,7.04,0.157367554,0.164352709,0.145935715,115.0331711,72.85553753,38.55567574
,77,11.14,10.43,7.09,0.154701491,0.160334305,0.145011441,105.9190553,64.86280873,36.89676101
,78,10.73,10.26,7.10,0.15111031,0.157264304,0.143602587,100.8621477,63.89868397,35.90637582
,79,10.00,9.40,6.01,0.149815404,0.153777947,0.14110068,94.01778739,55.54720269,24.92921098
,80,9.27,8.67,5.98,0.149987738,0.154267326,0.14214001,92.4109729,54.49690523,28.40201911
,81,8.94,8.56,5.92,0.148894476,0.153927465,0.141714904,87.06141458,53.21447028,25.95450995
,82,8.68,8.15,5.65,0.14836547,0.152438157,0.141179292,84.24115137,49.06496004,24.70127997
,83,7.90,7.53,5.57,0.146409742,0.150564674,0.140603081,74.96280272,44.95979809,24.60254792
,84,6.87,6.99,6.45,0.141768308,0.149311148,0.14190175,52.41025179,42.53969112,33.50760171
,85,7.17,6.86,5.30,0.142326722,0.145775133,0.138854611,62.59371432,37.38970014,22.14830839
,86,7.57,7.10,5.32,0.143971366,0.146222484,0.138707146,68.34336879,35.77909981,18.57568656
,87,5.98,5.90,5.04,0.14048137,0.144524431,0.138605037,47.70218136,30.85914308,20.79400276
,88,7.45,7.16,5.13,0.144564783,0.148025743,0.13911962,66.92332192,39.2312962,18.3351962
,89,15.65,13.72,10.52,0.172402325,0.179444769,0.157682104,152.6193137,93.56096388,77.57027823
,90,12.49,12.86,10.13,0.158788714,0.179729711,0.156311123,115.5485247,100.5224446,71.5801935
,91,13.03,11.28,5.86,0.162471639,0.15910027,0.141683551,131.8292771,61.47070489,26.64106724
,92,7.99,7.84,4.68,0.145459703,0.149719154,0.13890523,73.76497807,46.35076017,17.48530737
,93,7.61,7.31,6.39,0.144318093,0.150802914,0.142747395,68.28862448,45.85006911,33.74388558
,94,5.93,5.97,5.36,0.13982769,0.144837464,0.139135792,43.41716243,32.16561505,23.02938525
,95,5.71,5.72,5.07,0.139852033,0.144812265,0.139020348,43.42058771,32.78829397,23.67724295
